Method,Nodes,Cyclomatic Complexity
java/awt/geom/Area.<init>()V,14,1
java/awt/geom/Area.<init>(Ljava/awt/Shape;)V,32,2
java/awt/geom/Area.pathToCurves(Ljava/awt/geom/PathIterator;)Ljava/util/Vector;,228,4
java/awt/geom/Area.add(Ljava/awt/geom/Area;)V,21,1
java/awt/geom/Area.subtract(Ljava/awt/geom/Area;)V,21,1
java/awt/geom/Area.intersect(Ljava/awt/geom/Area;)V,21,1
java/awt/geom/Area.exclusiveOr(Ljava/awt/geom/Area;)V,21,1
java/awt/geom/Area.reset()V,16,1
java/awt/geom/Area.isEmpty()Z,16,2
java/awt/geom/Area.isPolygonal()Z,31,3
java/awt/geom/Area.isRectangular()Z,103,9
java/awt/geom/Area.isSingular()Z,47,4
java/awt/geom/Area.invalidateBounds()V,10,1
java/awt/geom/Area.getCachedBounds()Ljava/awt/geom/Rectangle2D;,75,4
java/awt/geom/Area.getBounds2D()Ljava/awt/geom/Rectangle2D;,8,1
java/awt/geom/Area.getBounds()Ljava/awt/Rectangle;,8,1
java/awt/geom/Area.clone()Ljava/lang/Object;,9,1
java/awt/geom/Area.equals(Ljava/awt/geom/Area;)Z,37,3
java/awt/geom/Area.transform(Ljava/awt/geom/AffineTransform;)V,29,2
java/awt/geom/Area.createTransformedArea(Ljava/awt/geom/AffineTransform;)Ljava/awt/geom/Area;,18,1
java/awt/geom/Area.contains(DD)Z,65,4
java/awt/geom/Area.contains(Ljava/awt/geom/Point2D;)Z,11,1
java/awt/geom/Area.contains(DDDD)Z,66,6
java/awt/geom/Area.contains(Ljava/awt/geom/Rectangle2D;)Z,15,1
java/awt/geom/Area.intersects(DDDD)Z,64,6
java/awt/geom/Area.intersects(Ljava/awt/geom/Rectangle2D;)Z,15,1
java/awt/geom/Area.getPathIterator(Ljava/awt/geom/AffineTransform;)Ljava/awt/geom/PathIterator;,11,1
java/awt/geom/Area.getPathIterator(Ljava/awt/geom/AffineTransform;D)Ljava/awt/geom/PathIterator;,12,1
java/awt/geom/Area.<clinit>()V,9,1
